label,country_id,pid,city_id,fold
5,QCD,z5tkosm85q,4VAXW,3
1,QCD,nqblpfzyv6,4VAXW,3
1,QCD,e2k9hq8wdy,4VAXW,3
5,QCD,nputhcozta,4VAXW,3
5,QCD,qqwlqjcsky,4VAXW,3
3,QCD,wlmboykzg4,4VAXW,3
5,QCD,l48gez2pbc,4VAXW,3
0,QCD,bdauyunjyg,4VAXW,3
5,QCD,grvhzbj3yg,4VAXW,3
5,QCD,dh8znqklnr,4VAXW,3
4,QCD,lxclkwvbtr,4VAXW,3
5,QCD,9tctndbnus,4VAXW,3
4,QCD,jrpsnhobus,4VAXW,3
4,QCD,eeuvhjebvc,4VAXW,3
1,QCD,yclsd46erg,4VAXW,3
1,QCD,nxnvxikrtz,4VAXW,3
1,QCD,3bx9swuia9,4VAXW,3
0,QCD,ambpfxtfaa,4VAXW,3
5,QCD,hixnwxmo3a,4VAXW,3
3,QCD,adgh84jfy4,4VAXW,3
4,QCD,rtpbq3hhdh,4VAXW,3
5,QCD,kxm688e3ju,4VAXW,3
5,QCD,acvuj4cx3a,4VAXW,3
5,QCD,8zlgscgswe,4VAXW,3
3,QCD,ybft4xry26,4VAXW,3
3,QCD,duepqthxja,4VAXW,3
5,QCD,mon3lordj6,4VAXW,3
0,QCD,y5vex9df73,4VAXW,3
2,QCD,7b3gnevkiw,4VAXW,3
5,QCD,zt7mctzmph,4VAXW,3
1,QCD,bn2nvwtnuz,4VAXW,3
0,QCD,k8yyez6ym2,4VAXW,3
2,QCD,ja4wk77ecf,4VAXW,3
1,QCD,yg399zsuri,4VAXW,3
1,QCD,xfzhnhbgbs,4VAXW,3
2,QCD,bftkscihqa,4VAXW,3
5,QCD,cfuzdpsyhs,4VAXW,3
1,QCD,6m7najwhca,4VAXW,3
5,QCD,ac6ulxpot4,4VAXW,3
0,QCD,6tj7yo7yjr,4VAXW,3
1,QCD,uwa6rfnysj,4VAXW,3
5,QCD,lqq7r867sv,4VAXW,3
3,QCD,x32jgvujkj,4VAXW,3
1,QCD,ilrnwfm9hs,4VAXW,3
3,QCD,bbct8kwi7j,4VAXW,3
2,QCD,nvffprfywf,4VAXW,3
1,QCD,tfqgwtwhuy,4VAXW,3
4,QCD,rmclpet8su,4VAXW,3
2,QCD,wymuot2ez7,4VAXW,3
1,QCD,mimobigt34,4VAXW,3
2,QCD,xdcrfjhpj7,4VAXW,3
3,QCD,xolkje7pcm,4VAXW,3
1,QCD,ckwzveg5t5,4VAXW,3
0,QCD,9mab43anwt,4VAXW,3
3,QCD,wbufvtx4bi,4VAXW,3
4,QCD,9yunptnwtn,4VAXW,3
5,QCD,5zbapqbd7n,4VAXW,3
5,QCD,jnaevt7lmu,4VAXW,3
5,QCD,zpaqwr2sak,4VAXW,3
4,QCD,yyydqfupo9,4VAXW,3
0,QCD,ftrbgwuija,4VAXW,3
5,QCD,skjhmi6hwd,4VAXW,3
1,QCD,wggbzjk5cy,4VAXW,3
1,QCD,vtsqarbige,4VAXW,3
1,QCD,bd4diglm6x,4VAXW,3
4,QCD,gbrf6c899m,4VAXW,3
5,QCD,nfaevodnhd,4VAXW,3
5,QCD,cihht42tpv,4VAXW,3
4,QCD,w2q3jwvyht,4VAXW,3
1,QCD,demc786r7e,4VAXW,3
0,QCD,fq3vg2vavj,4VAXW,3
2,QCD,icdcckw3da,4VAXW,3
2,QCD,huby5nhum6,4VAXW,3
1,QCD,emz2x9c6v3,4VAXW,3
1,QCD,jv3sjrasa2,4VAXW,3
1,QCD,ckda4rplko,4VAXW,3
1,QCD,moqynzd9jm,4VAXW,3
5,QCD,fm2g9vr8gv,4VAXW,3
4,QCD,wqvzgwdffi,4VAXW,3
4,QCD,tht2xkdilc,4VAXW,3
5,QCD,7dqwgtqsmu,4VAXW,3
5,QCD,k9obr2vobq,4VAXW,3
4,QCD,myqnkmsii9,4VAXW,3
5,QCD,krpzrpbbda,4VAXW,3
5,QCD,jvsddymg2a,4VAXW,3
4,QCD,6bc8i9eszx,4VAXW,3
4,QCD,nflebpbk2h,4VAXW,3
4,QCD,fobgcgtcyi,4VAXW,3
4,QCD,a3ragpbqgt,4VAXW,3
5,QCD,vzkpa47uys,4VAXW,3
2,QCD,aduluzf47j,4VAXW,3
2,QCD,hzpa5fpixa,4VAXW,3
4,QCD,kop4umiqbv,4VAXW,3
5,QCD,87oubx5kva,4VAXW,3
6,QCD,f8ejypxdso,4VAXW,3
2,QCD,vztzwam2zn,4VAXW,3
0,QCD,iyelrcmkkx,4VAXW,3
5,QCD,2ryicdw6ei,4VAXW,3
2,QCD,we6nhmdtnf,4VAXW,3
2,QCD,dnfkcb36lh,4VAXW,3
0,QCD,pec68pbz3r,4VAXW,3
0,QCD,jtjej2ktqp,4VAXW,3
5,QCD,ravhjsefpr,4VAXW,3
5,QCD,4mh5ci84zi,4VAXW,3
1,QCD,xknwm5vtxw,4VAXW,3
0,QCD,szsbjjj5ye,4VAXW,3
5,QCD,jj373zrww7,4VAXW,3
2,QCD,pqvayqhasx,4VAXW,3
1,QCD,curgdxn6zz,4VAXW,3
2,QCD,irlkpsnt9g,4VAXW,3
1,QCD,c69i4jiza8,4VAXW,3
0,QCD,wi6scer9kw,4VAXW,3
2,QCD,5iosddmpqm,4VAXW,3
4,QCD,aslpq75bds,4VAXW,3
1,QCD,rrxr46apab,4VAXW,3
5,QCD,vcni6zjoch,4VAXW,3
2,QCD,glfhstmwlf,4VAXW,3
1,QCD,grysqf7gt2,4VAXW,3
1,QCD,mpmhrc64sz,4VAXW,3
5,QCD,3icg6hsexr,4VAXW,3
4,QCD,nhagxvklhk,4VAXW,3
5,QCD,kd85fq2mku,4VAXW,3
5,QCD,ngry6xtdvt,4VAXW,3
5,QCD,pymi9uqhmd,4VAXW,3
4,QCD,u2qmhidalg,4VAXW,3
3,QCD,nqfdnj9usx,4VAXW,3
1,QCD,5d3cb8ahyz,4VAXW,3
1,QCD,mj5hndcmjy,4VAXW,3
0,QCD,oxdz7juwfq,4VAXW,3
1,QCD,tjcd9uc4ea,4VAXW,3
0,QCD,9cmv6fzugz,4VAXW,3
4,QCD,adavx6pv6u,4VAXW,3
0,QCD,2qdq9pzbto,4VAXW,3
4,QCD,deuguvvwbf,4VAXW,3
4,QCD,rjkrrb3wuq,4VAXW,3
6,QCD,9cgxfxbjmf,4VAXW,3
0,QCD,ya9bsgm7g8,4VAXW,3
3,QCD,nsbnzrzluv,4VAXW,3
5,QCD,nkxuorhyzv,4VAXW,3
3,QCD,2pvrjwjtyo,4VAXW,3
0,QCD,bzzuuupxzq,4VAXW,3
2,QCD,raugldaida,4VAXW,3
3,QCD,63tmf3jlds,4VAXW,3
2,QCD,bbj562ujhy,4VAXW,3
2,QCD,nkyatbowjc,4VAXW,3
3,QCD,ffxq3hpdqa,4VAXW,3
3,QCD,ajrbhthbi9,4VAXW,3
5,QCD,iljbnvjkeg,4VAXW,3
5,QCD,egudszxskg,4VAXW,3
4,QCD,n9ldasjxyi,4VAXW,3
6,QCD,jebkwqapxr,4VAXW,3
4,QCD,uiwo2wwsvd,4VAXW,3
5,QCD,nbmcczbaoj,4VAXW,3
2,QCD,jtj6xws6by,4VAXW,3
6,QCD,naewab8una,4VAXW,3
4,QCD,kwyjdtfrw4,4VAXW,3
4,QCD,dnsc28fx5x,4VAXW,3
4,QCD,frpvxgwukw,4VAXW,3
4,QCD,js6wsbr56m,4VAXW,3
4,QCD,jgxh7uchxs,4VAXW,3
4,QCD,kv6oeypqdf,4VAXW,3
4,QCD,tm2kpfpspv,4VAXW,3
1,QCD,cxyyhlgnyp,4VAXW,3
5,QCD,grupruup6f,4VAXW,3
1,QCD,9x5mfnvwsm,4VAXW,3
5,QCD,nmh8yjlfux,4VAXW,3
2,QCD,cjw6brgnnb,4VAXW,3
2,QCD,tb3kw28zjn,4VAXW,3
0,QCD,tkhgxcthft,4VAXW,3
4,QCD,v5ewyd4dft,4VAXW,3
3,QCD,gsfx5byvrf,4VAXW,3
3,QCD,giqkrhjgap,4VAXW,3
3,QCD,buczbxdsn5,4VAXW,3
3,QCD,8w8dcn6prz,4VAXW,3
3,QCD,gscmtvvbdq,4VAXW,3
3,QCD,7szfoqwsx5,4VAXW,3
3,QCD,uz3zpzwct4,4VAXW,3
3,QCD,b5zdzzjwu5,4VAXW,3
4,QCD,wmnabhvyks,4VAXW,3
4,QCD,qvemrnkf3c,4VAXW,3
4,QCD,vkj5cv7clu,4VAXW,3
4,QCD,qxie4akmpn,4VAXW,3
4,QCD,2lrwgfesr9,4VAXW,3
4,QCD,cwxzhnfvbd,4VAXW,3
4,QCD,erjy8nwqeb,4VAXW,3
4,QCD,wmmlnxdtyc,4VAXW,3
4,QCD,d6isrglnfu,4VAXW,3
4,QCD,nozws5mdmf,4VAXW,3
5,QCD,fu8zwkumza,4VAXW,3
5,QCD,p2hgsl5eyz,4VAXW,3
4,QCD,hsvc8wreur,4VAXW,3
1,QCD,lyhhnzbyxb,4VAXW,3
4,QCD,gwpyuuz5n9,4VAXW,3
5,QCD,gyzxmfevaq,4VAXW,3
3,QCD,3vcvdzdutu,4VAXW,3
3,QCD,aktsfrm8f4,4VAXW,3
3,QCD,bdpep4v4uu,4VAXW,3
3,QCD,fttjmw7x4k,4VAXW,3
4,QCD,6tidgoh3bg,4VAXW,3
3,QCD,isdusmjode,4VAXW,3
4,QCD,3rmk9qcsdv,4VAXW,3
6,QCD,pachovythq,4VAXW,3
3,QCD,vev2q5gcds,4VAXW,3
0,QCD,bfksxz6ctm,4VAXW,3
0,QCD,3uhgw6no5p,4VAXW,3
3,QCD,wksemjpwer,4VAXW,3
1,QCD,emuwjdt7u2,4VAXW,3
0,QCD,rngcdquxmn,4VAXW,3
1,QCD,enwkhzbf9x,4VAXW,3
0,QCD,ndwnpezmur,4VAXW,3
3,QCD,wmuqbjoveb,4VAXW,3
1,QCD,yal4duzrzy,4VAXW,3
0,QCD,5tgxlmzblt,4VAXW,3
0,QCD,hg93af7okl,4VAXW,3
3,QCD,v2cjw6dni2,4VAXW,3
1,QCD,oddjjiirry,4VAXW,3
6,QCD,f85zumvk2m,4VAXW,3
1,QCD,rd3xfou9bl,4VAXW,3
3,QCD,xygdlqyrxa,4VAXW,3
3,QCD,zads7ticka,4VAXW,3
3,QCD,clfafvuj2y,4VAXW,3
0,QCD,bfgtj9yiey,4VAXW,3
0,QCD,cbowbrscwg,4VAXW,3
0,QCD,cgce9uvjea,4VAXW,3
3,QCD,pza5xjdt5q,4VAXW,3
0,QCD,c5cs9prhin,4VAXW,3
1,QCD,nunhvmtnm7,4VAXW,3
6,QCD,bxffdn3snm,4VAXW,3
5,QCD,iechpkwx9q,4VAXW,3
3,QCD,veqcyyetyb,4VAXW,3
4,QCD,gmyksu5fkx,4VAXW,3
4,QCD,nepf7kyyz9,4VAXW,3
2,QCD,pccvibvkuw,4VAXW,3
5,QCD,scynlgqssi,4VAXW,3
5,QCD,ajascpemxs,4VAXW,3
1,QCD,dmvz2bwn5g,4VAXW,3
4,QCD,ptyaas9gcs,4VAXW,3
2,QCD,kzpclvd4fp,4VAXW,3
5,QCD,dxjuw8jcle,4VAXW,3
1,QCD,a99bzseuau,4VAXW,3
4,QCD,ahbxuakshj,4VAXW,3
3,QCD,8k4gxz9sgd,4VAXW,3
0,QCD,txfnoamrfk,4VAXW,3
1,QCD,9qbr4k3hwj,4VAXW,3
4,QCD,ceyxvmqsfc,4VAXW,3
0,QCD,jq6efgbyvm,4VAXW,3
1,QCD,bhtndqnv7f,4VAXW,3
1,QCD,l6uk2kn8t4,4VAXW,3
6,QCD,qkummnwxgk,4VAXW,3
1,QCD,juq9egwdyr,4VAXW,3
3,QCD,r3ga4zyizr,4VAXW,3
3,QCD,anob8bpd7c,4VAXW,3
3,QCD,5r4u5takqs,4VAXW,3
1,QCD,fe9qg6gdb5,4VAXW,3
3,QCD,xqy7tzptxb,4VAXW,3
3,QCD,nyexyxgmim,4VAXW,3
5,QCD,aqijmmfflo,4VAXW,3
5,QCD,c9zkomkjrq,4VAXW,3
5,QCD,5gde6h6u4d,4VAXW,3
2,QCD,i2zwcrazrx,4VAXW,3
6,QCD,eqcbypaqko,4VAXW,3
3,QCD,dt3bpyk6ik,4VAXW,3
5,QCD,lztqylfeby,4VAXW,3
0,QCD,7r87mh9cvv,4VAXW,3
5,QCD,fxtl5hvjs7,4VAXW,3
3,QCD,jmdhyox9it,4VAXW,3
4,QCD,ngsxnrq2m8,4VAXW,3
2,QCD,2zja9e7nby,4VAXW,3
6,QCD,gasw9na5hc,4VAXW,3
4,QCD,jrecxgddy7,4VAXW,3
5,QCD,glr2svgz6g,4VAXW,3
4,QCD,n7vmwcwjng,4VAXW,3
2,QCD,f2qpybnjgg,4VAXW,3
4,QCD,h2aqawu5gt,4VAXW,3
2,QCD,e5bpbuef77,4VAXW,3
2,QCD,b94nbqzeqw,4VAXW,3
2,QCD,mmneo2v3qx,4VAXW,3
3,QCD,r6r6yjw4rj,4VAXW,3
4,QCD,mxhsnwpnuv,4VAXW,3
3,QCD,vt2vx2lprp,4VAXW,3
3,QCD,q2vxwpkw9j,4VAXW,3
3,QCD,gicpoxhypj,4VAXW,3
4,QCD,kjzcpd7epk,4VAXW,3
3,QCD,jfg3haagdj,4VAXW,3
4,QCD,jtknuku2rl,4VAXW,3
3,QCD,eanxq2ikcq,4VAXW,3
4,QCD,lknnyo49s7,4VAXW,3
3,QCD,gc9j2jrury,4VAXW,3
3,QCD,a9rhdroakt,4VAXW,3
3,QCD,fbmhggqatl,4VAXW,3
3,QCD,gqp6wafwsa,4VAXW,3
3,QCD,ndgzpmjqrg,4VAXW,3
3,QCD,arwwkhm3ty,4VAXW,3
3,QCD,jx6slzc5hv,4VAXW,3
3,QCD,dfbwrwgwer,4VAXW,3
4,QCD,h9ghydhkaf,4VAXW,3
2,QCD,kh8y6qygrk,4VAXW,3
4,QCD,zzdrew5ovp,4VAXW,3
4,QCD,ocfornszt9,4VAXW,3
6,QCD,lrx8qmrhzj,4VAXW,3
2,QCD,hjp3hcdg2y,4VAXW,3
4,QCD,fypb9j7fzu,4VAXW,3
5,QCD,hjsnddoqvw,4VAXW,3
5,QCD,gptdzli2dh,4VAXW,3
5,QCD,25tj6rzynn,4VAXW,3
0,QCD,voyngif79m,4VAXW,3
5,QCD,tcgguvjyew,4VAXW,3
5,QCD,7sbg4zvvdn,4VAXW,3
